"prt";"aasta";"kord";"mxkord";"kordev";"rinnv";"puu";"pl";"asim";"kaug";"d";"h";"rikked";"raadius";"hp";"v"
101;2009;3;4;1;"K";33;"KS";73,5;9,2;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";33;"KS";73,5;9,2;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";34;"KU";77;11,9;24;NA;"10K";20;20,3434920255705;0,446313681186981
101;2004;2;4;1;"K";34;"KU";77;11,9;NA;NA;"10K";30;NA;NA
101;2009;3;4;1;"K";34;"KU";77;11,9;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";34;"KU";77;11,9;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";35;"KS";79,5;12,3;6,6;14;NA;20;12,2133409315379;0,019030748173274
101;2004;2;4;1;"K";35;"KS";79,5;12,3;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";35;"KS";79,5;12,3;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";35;"KS";79,5;12,3;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";36;"KS";63,5;10,2;6,9;NA;NA;20;12,6710409926563;0,0217221818406449
101;2004;2;4;1;"K";36;"KS";63,5;10,2;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";36;"KS";63,5;10,2;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";36;"KS";63,5;10,2;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";37;"HB";49;13,2;23,6;NA;NA;20;25,2774666555418;0,517332227865235
101;2004;2;4;1;"K";37;"HB";49;13,2;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";37;"HB";49;13,2;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";37;"HB";49;13,2;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";38;"KU";47;15;15,9;NA;"10K";20;NA;NA
101;2004;2;4;1;"K";38;"KU";47;15;NA;NA;"10K";30;NA;NA
101;2009;3;4;1;"K";38;"KU";47;15;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";38;"KU";47;15;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";39;"KU";48;16,4;10,5;NA;"10T";20;NA;NA
101;2004;2;4;1;"K";39;"KU";48;16,4;NA;NA;"10T";30;NA;NA
101;2009;3;4;1;"K";39;"KU";48;16,4;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";39;"KU";48;16,4;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";40;"HB";50;16,6;14,95;23,1;"10N";20;22,8345819965956;0,187952874855292
101;2004;2;4;1;"K";40;"HB";50;16,6;NA;NA;"10N";30;NA;NA
101;2009;3;4;1;"K";40;"HB";50;16,6;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";40;"HB";50;16,6;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";41;"HB";46,5;18,8;25,05;NA;"44";20;25,5418234276846;0,589012469260592
101;2004;2;4;1;"K";41;"HB";46,5;18,8;NA;NA;"44";30;NA;NA
101;2009;3;4;1;"K";41;"HB";46,5;18,8;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";41;"HB";46,5;18,8;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";42;"KU";51,5;19,8;16,9;NA;"10K";20;NA;NA
101;2004;2;4;1;"K";42;"KU";51,5;19,8;NA;NA;"10K";30;NA;NA
101;2009;3;4;1;"K";42;"KU";51,5;19,8;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";42;"KU";51,5;19,8;NA;NA;NA;30;NA;NA
101;1999;1;4;4;"1";43;"HB";57;18,9;18,3;NA;"10N";20;24,0109420635496;0,29558221687968
101;2004;2;4;4;"1";43;"HB";57;18,9;19,45;NA;"10N";30;26,0475882234533;0,360767555103351
101;2009;3;4;4;"1";43;"HB";57;18,9;21,75;NA;"10N";30;25,7482708774634;0,446822562876588
101;2014;4;4;4;"1";43;"HB";57;18,9;23,3;NA;"10N";30;28,825740463744;0,5717095708908
101;1999;1;4;1;"1";44;"KU";65;17,2;21,75;NA;"10T";20;19,2487680033876;0,349446116015635
101;2004;2;4;1;"K";44;"KU";65;17,2;NA;NA;"10T";30;NA;NA
101;2009;3;4;1;"K";44;"KU";65;17,2;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";44;"KU";65;17,2;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";45;"KU";64;16;5,95;NA;"10N";20;NA;NA
101;2004;2;4;1;"K";45;"KU";64;16;NA;NA;"10N";30;NA;NA
101;2009;3;4;1;"K";45;"KU";64;16;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";45;"KU";64;16;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";46;"KU";68,5;15,3;10,15;NA;"10K";20;NA;NA
101;2004;2;4;1;"K";46;"KU";68,5;15,3;NA;NA;"10K";30;NA;NA
101;2009;3;4;1;"K";46;"KU";68,5;15,3;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";46;"KU";68,5;15,3;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";47;"KU";65,5;15,3;6,55;NA;NA;20;NA;NA
101;2004;2;4;1;"K";47;"KU";65,5;15,3;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";47;"KU";65,5;15,3;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";47;"KU";65,5;15,3;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";48;"KS";59,5;14,6;12,5;NA;NA;20;18,9243154935276;0,108134812790178
101;2004;2;4;1;"K";48;"KS";59,5;14,6;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";48;"KS";59,5;14,6;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";48;"KS";59,5;14,6;NA;NA;NA;30;NA;NA
101;1999;1;4;4;"1";49;"KS";60;13,8;20;26,4;NA;20;23,4008984626634;0,336117131259975
101;2004;2;4;4;"1";49;"KS";60;13,8;21,7;28,3;NA;30;24,6443745856602;0,415037832007182
101;2009;3;4;4;"1";49;"KS";60;13,8;23,95;29,4;NA;30;25,6960418841174;0,524845158222585
101;2014;4;4;4;"1";49;"KS";60;13,8;25,65;30,7;NA;30;26,6284373455026;0,621826577483537
101;1999;1;4;1;"2";50;"KU";67;14,4;9,4;NA;"10T";20;NA;NA
101;2004;2;4;1;"K";50;"KU";67;14,4;NA;NA;"10T";30;NA;NA
101;2009;3;4;1;"K";50;"KU";67;14,4;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";50;"KU";67;14,4;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";51;"KS";73;14,9;11,15;NA;"10T";20;17,739768361797;0,0808769440350235
101;2004;2;4;1;"S";51;"KS";73;14,9;NA;NA;"10T";30;NA;NA
101;2009;3;4;1;"S";51;"KS";73;14,9;NA;NA;"10T";30;NA;NA
101;2014;4;4;1;"S";51;"KS";73;14,9;NA;NA;"10T";30;NA;NA
101;1999;1;4;1;"1";52;"KS";73,5;14,3;6,85;NA;NA;20;12,5958388031182;0,0212604604064174
101;2004;2;4;1;"K";52;"KS";73,5;14,3;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";52;"KS";73,5;14,3;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";52;"KS";73,5;14,3;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";53;"KU";74;15,5;14,95;NA;NA;20;NA;NA
